Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,500,1027,1110,1808,1888,2032,169,2338,0.00%,49.3,13.8,615.11
TOTAL,500,1027,1110,1808,1888,2032,169,2338,0.00%,49.3,13.8,615.11
