Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,500,277,217,366,407,619,173,10245,0.00%,47.1,13.2,455.68
TOTAL,500,277,217,366,407,619,173,10245,0.00%,47.1,13.2,455.68
