Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,10,2111,1440,4351,4351,4969,267,4969,0.00%,1.1,.3,1703.65
TOTAL,10,2111,1440,4351,4351,4969,267,4969,0.00%,1.1,.3,1703.65
