Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,500,256,215,377,410,606,170,756,0.00%,48.9,13.7,96.03
TOTAL,500,256,215,377,410,606,170,756,0.00%,48.9,13.7,96.03
