timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773878100938,44,HTTP Request,200,OK,Stress Test 1-382,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878100958,45,HTTP Request,200,OK,Stress Test 1-383,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,23
1773878100978,45,HTTP Request,200,OK,Stress Test 1-384,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878100998,45,HTTP Request,200,OK,Stress Test 1-385,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878101021,44,HTTP Request,200,OK,Stress Test 1-386,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878101039,45,HTTP Request,200,OK,Stress Test 1-387,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,23
1773878101058,45,HTTP Request,200,OK,Stress Test 1-388,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878101078,43,HTTP Request,200,OK,Stress Test 1-389,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,22
1773878101099,43,HTTP Request,200,OK,Stress Test 1-390,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878101118,44,HTTP Request,200,OK,Stress Test 1-391,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878101138,44,HTTP Request,200,OK,Stress Test 1-392,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,21
1773878101159,43,HTTP Request,200,OK,Stress Test 1-393,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878101179,43,HTTP Request,200,OK,Stress Test 1-394,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878101198,44,HTTP Request,200,OK,Stress Test 1-395,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878101220,43,HTTP Request,200,OK,Stress Test 1-396,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878101239,43,HTTP Request,200,OK,Stress Test 1-397,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878101258,43,HTTP Request,200,OK,Stress Test 1-398,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878101278,44,HTTP Request,200,OK,Stress Test 1-399,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878101299,43,HTTP Request,200,OK,Stress Test 1-400,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878101318,44,HTTP Request,200,OK,Stress Test 1-401,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878101338,45,HTTP Request,200,OK,Stress Test 1-402,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878101358,46,HTTP Request,200,OK,Stress Test 1-403,text,true,,197,121,3,3,http://54.159.81.233:8080/match,46,0,23
1773878101378,47,HTTP Request,200,OK,Stress Test 1-404,text,true,,197,121,3,3,http://54.159.81.233:8080/match,47,0,25
1773878101399,42,HTTP Request,200,OK,Stress Test 1-405,text,true,,197,121,3,3,http://54.159.81.233:8080/match,42,0,21
1773878101419,44,HTTP Request,200,OK,Stress Test 1-406,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878101438,43,HTTP Request,200,OK,Stress Test 1-407,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878101459,46,HTTP Request,200,OK,Stress Test 1-408,text,true,,197,121,3,3,http://54.159.81.233:8080/match,46,0,22
1773878101478,44,HTTP Request,200,OK,Stress Test 1-409,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878101498,44,HTTP Request,200,OK,Stress Test 1-410,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878101518,44,HTTP Request,200,OK,Stress Test 1-411,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878101539,45,HTTP Request,200,OK,Stress Test 1-412,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878101559,44,HTTP Request,200,OK,Stress Test 1-413,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878101578,46,HTTP Request,200,OK,Stress Test 1-414,text,true,,197,121,3,3,http://54.159.81.233:8080/match,46,0,23
1773878101598,44,HTTP Request,200,OK,Stress Test 1-415,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878101619,44,HTTP Request,200,OK,Stress Test 1-416,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,21
1773878101638,45,HTTP Request,200,OK,Stress Test 1-417,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878101659,44,HTTP Request,200,OK,Stress Test 1-418,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878101678,45,HTTP Request,200,OK,Stress Test 1-419,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878101699,46,HTTP Request,200,OK,Stress Test 1-420,text,true,,197,121,3,3,http://54.159.81.233:8080/match,46,0,24
1773878101719,45,HTTP Request,200,OK,Stress Test 1-421,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878101738,44,HTTP Request,200,OK,Stress Test 1-422,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878101758,45,HTTP Request,200,OK,Stress Test 1-423,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878101778,45,HTTP Request,200,OK,Stress Test 1-424,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878101798,44,HTTP Request,200,OK,Stress Test 1-425,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878101819,43,HTTP Request,200,OK,Stress Test 1-426,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878101838,44,HTTP Request,200,OK,Stress Test 1-427,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878101859,46,HTTP Request,200,OK,Stress Test 1-428,text,true,,197,121,3,3,http://54.159.81.233:8080/match,46,0,23
1773878101879,46,HTTP Request,200,OK,Stress Test 1-429,text,true,,197,121,3,3,http://54.159.81.233:8080/match,46,0,23
1773878101898,43,HTTP Request,200,OK,Stress Test 1-430,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878101919,44,HTTP Request,200,OK,Stress Test 1-431,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878101938,43,HTTP Request,200,OK,Stress Test 1-432,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,22
