Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,500,44,44,45,46,79,42,84,0.00%,50.4,9.7,4.25
TOTAL,500,44,44,45,46,79,42,84,0.00%,50.4,9.7,4.25
