Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,10,47,44,45,45,71,43,71,0.00%,1.1,.2,8.02
TOTAL,10,47,44,45,45,71,43,71,0.00%,1.1,.2,8.02
