Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,10,46,44,45,45,66,43,66,0.00%,1.1,.2,6.59
TOTAL,10,46,44,45,45,66,43,66,0.00%,1.1,.2,6.59
