Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,500,44,44,45,46,76,42,76,0.00%,50.5,9.7,4.08
TOTAL,500,44,44,45,46,76,42,76,0.00%,50.5,9.7,4.08
