Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,500,44,44,45,46,80,42,80,0.00%,50.5,9.7,4.22
TOTAL,500,44,44,45,46,80,42,80,0.00%,50.5,9.7,4.22
