Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,10,46,44,47,47,67,43,67,0.00%,1.1,.2,6.95
TOTAL,10,46,44,47,47,67,43,67,0.00%,1.1,.2,6.95
