Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,10,345,325,508,508,581,226,581,0.00%,1.1,.3,109.44
TOTAL,10,345,325,508,508,581,226,581,0.00%,1.1,.3,109.44
