Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,10,309,326,427,427,495,194,495,0.00%,1.1,.3,96.15
TOTAL,10,309,326,427,427,495,194,495,0.00%,1.1,.3,96.15
