Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,10,349,316,349,349,644,292,644,0.00%,1.1,.3,99.42
TOTAL,10,349,316,349,349,644,292,644,0.00%,1.1,.3,99.42
