Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,500,1183,1200,2173,2250,2368,167,2431,0.00%,47.3,13.3,719.11
TOTAL,500,1183,1200,2173,2250,2368,167,2431,0.00%,47.3,13.3,719.11
