Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,500,264,219,372,402,703,168,1669,0.00%,49.1,13.8,117.08
TOTAL,500,264,219,372,402,703,168,1669,0.00%,49.1,13.8,117.08
