test_id,channel_id,rtt_seconds
0,1484428147838685275,0.6264
150,1484428160253825024,0.5634
50,1484428152632508488,1.1976
40,1484428152007557271,1.2157
30,1484428151361638541,1.265
70,1484428154490716200,1.2103
320,1484428174350876782,0.7525
60,1484428153467441263,1.2954
10,1484428149281263616,1.3845
90,1484428156113911858,1.2488
130,1484428158739677237,1.1498
370,1484428178519883866,0.6748
110,1484428157556887633,1.2248
440,1484428184022679602,0.5719
20,1484428150170451978,1.4265
350,1484428176695496824,0.7753
100,1484428156894183434,1.2546
410,1484428181652902000,0.6535
80,1484428155241500785,1.3109
160,1484428160782303313,1.1742
140,1484428159720886347,1.2152
170,1484428161352597595,1.1648
400,1484428180839207032,0.6942
120,1484428158244491324,1.2558
390,1484428179958534225,0.7248
230,1484428166826037358,1.0484
380,1484428179241304075,0.755
220,1484428165895163945,1.0769
360,1484428177689411625,0.7985
260,1484428169283895346,1.0067
180,1484428162338394213,1.1646
240,1484428167660830811,1.047
200,1484428164183625739,1.1391
270,1484428170860953620,1.0065
190,1484428162871070812,1.1813
460,1484428185377701929,0.6639
430,1484428182852730964,0.7223
470,1484428186249855006,0.6396
290,1484428172261855242,1.0044
280,1484428171347628123,1.0546
490,1484428187743289344,0.6296
250,1484428168235585627,1.11
310,1484428173545574411,1.0264
330,1484428174933622945,0.9943
420,1484428182110081106,0.8258
210,1484428165148573806,1.2285
450,1484428184286920715,0.7787
300,1484428172912099369,1.0712
1,1484428147838685275,0.5922
51,1484428152632508488,0.4692
41,1484428152007557271,0.4974
480,1484428187009159319,0.816
31,1484428151361638541,0.5688
11,1484428149281263616,0.5704
71,1484428154490716200,0.565
91,1484428156113911858,0.6597
61,1484428153467441263,0.6341
101,1484428156894183434,0.6045
141,1484428159720886347,0.5215
81,1484428155241500785,0.6375
221,1484428165895163945,0.5066
201,1484428164183625739,0.5874
131,1484428158739677237,0.5971
271,1484428170860953620,0.5574
261,1484428169283895346,0.5764
241,1484428167660830811,0.6018
331,1484428174933622945,0.525
341,1484428176003305512,0.5286
121,1484428158244491324,1.0087
181,1484428162338394213,0.9672
21,1484428150170451978,1.1471
161,1484428160782303313,0.9794
401,1484428180839207032,0.5343
411,1484428181652902000,0.5117
351,1484428176695496824,0.6415
441,1484428184022679602,0.534
151,1484428160253825024,1.1364
211,1484428165148573806,1.0162
381,1484428179241304075,0.6812
171,1484428161352597595,1.1751
111,1484428157556887633,1.089
231,1484428166826037358,1.0706
251,1484428168235585627,1.1497
311,1484428173545574411,1.0325
491,1484428187743289344,0.5233
2,1484428147838685275,0.5633
191,1484428162871070812,1.1288
321,1484428174350876782,1.0862
340,1484428176003305512,2.2223
291,1484428172261855242,1.1914
361,1484428177689411625,0.9963
391,1484428179958534225,1.0656
371,1484428178519883866,1.1013
281,1484428171347628123,1.2707
32,1484428151361638541,0.5522
152,1484428160253825024,0.4716
92,1484428156113911858,0.5315
451,1484428184286920715,0.9919
421,1484428182110081106,1.1846
431,1484428182852730964,1.0766
142,1484428159720886347,0.5799
122,1484428158244491324,0.5166
82,1484428155241500785,0.6067
471,1484428186249855006,1.1579
172,1484428161352597595,0.4829
162,1484428160782303313,0.6957
322,1484428174350876782,0.4553
272,1484428170860953620,0.6081
222,1484428165895163945,0.6087
52,1484428152632508488,1.0168
12,1484428149281263616,0.9716
481,1484428187009159319,1.0763
262,1484428169283895346,0.605
461,1484428185377701929,1.3566
132,1484428158739677237,0.6164
301,1484428172912099369,1.6589
252,1484428168235585627,0.6979
42,1484428152007557271,1.0798
282,1484428171347628123,0.5015
22,1484428150170451978,1.0205
442,1484428184022679602,0.4573
182,1484428162338394213,0.9645
232,1484428166826037358,0.9202
102,1484428156894183434,1.1284
212,1484428165148573806,0.9952
412,1484428181652902000,0.497
72,1484428154490716200,1.1911
62,1484428153467441263,1.1982
422,1484428182110081106,0.5635
202,1484428164183625739,1.0313
112,1484428157556887633,1.0519
452,1484428184286920715,0.511
242,1484428167660830811,1.0467
292,1484428172261855242,1.0508
13,1484428149281263616,0.4509
362,1484428177689411625,1.0125
392,1484428179958534225,1.0127
312,1484428173545574411,1.1484
192,1484428162871070812,1.016
492,1484428187743289344,0.6693
342,1484428176003305512,1.0665
382,1484428179241304075,1.0887
332,1484428174933622945,1.203
482,1484428187009159319,0.5305
402,1484428180839207032,1.1808
352,1484428176695496824,1.0839
472,1484428186249855006,1.0349
73,1484428154490716200,0.5486
462,1484428185377701929,1.0772
432,1484428182852730964,1.1048
183,1484428162338394213,0.5093
302,1484428172912099369,1.232
213,1484428165148573806,0.5286
163,1484428160782303313,0.4325
113,1484428157556887633,0.5315
63,1484428153467441263,0.6974
263,1484428169283895346,0.4582
83,1484428155241500785,0.76
133,1484428158739677237,0.6093
273,1484428170860953620,0.5412
293,1484428172261855242,0.5075
333,1484428174933622945,0.5309
53,1484428152632508488,1.0566
93,1484428156113911858,0.9808
223,1484428165895163945,0.627
3,1484428147838685275,1.1777
243,1484428167660830811,0.5902
403,1484428180839207032,0.5182
43,1484428152007557271,1.1125
143,1484428159720886347,1.0757
203,1484428164183625739,0.9432
393,1484428179958534225,0.5654
33,1484428151361638541,1.2726
153,1484428160253825024,1.1098
23,1484428150170451978,1.0869
173,1484428161352597595,1.0635
303,1484428172912099369,0.7022
233,1484428166826037358,1.1146
343,1484428176003305512,0.7055
473,1484428186249855006,0.5069
433,1484428182852730964,0.5091
383,1484428179241304075,0.7508
453,1484428184286920715,0.5216
493,1484428187743289344,0.4436
323,1484428174350876782,1.0919
54,1484428152632508488,0.4649
123,1484428158244491324,0.4873
373,1484428178519883866,1.0221
193,1484428162871070812,1.0552
372,1484428178519883866,2.276
34,1484428151361638541,0.6149
413,1484428181652902000,1.0716
483,1484428187009159319,0.6333
463,1484428185377701929,1.0539
363,1484428177689411625,1.1294
253,1484428168235585627,1.0522
144,1484428159720886347,0.5788
14,1484428149281263616,0.745
283,1484428171347628123,1.1315
84,1484428155241500785,0.5381
443,1484428184022679602,1.1766
174,1484428161352597595,0.4604
234,1484428166826037358,0.5267
313,1484428173545574411,1.4299
264,1484428169283895346,0.4849
24,1484428150170451978,0.8184
294,1484428172261855242,0.6009
44,1484428152007557271,1.011
134,1484428158739677237,0.6839
94,1484428156113911858,1.014
274,1484428170860953620,0.6524
404,1484428180839207032,0.5384
4,1484428147838685275,1.0599
154,1484428160253825024,0.943
74,1484428154490716200,1.0545
184,1484428162338394213,1.0264
103,1484428156894183434,2.2804
64,1484428153467441263,1.1179
414,1484428181652902000,0.552
164,1484428160782303313,0.9754
204,1484428164183625739,1.0698
214,1484428165148573806,1.12
384,1484428179241304075,0.502
114,1484428157556887633,1.1002
334,1484428174933622945,0.8154
304,1484428172912099369,0.539
494,1484428187743289344,0.4553
454,1484428184286920715,0.6177
474,1484428186249855006,0.6333
434,1484428182852730964,0.7697
324,1484428174350876782,0.9912
354,1484428176695496824,0.6901
374,1484428178519883866,1.0502
15,1484428149281263616,0.4326
5,1484428147838685275,0.4613
364,1484428177689411625,1.0078
484,1484428187009159319,0.5066
314,1484428173545574411,1.1036
394,1484428179958534225,1.0139
194,1484428162871070812,1.1539
224,1484428165895163945,1.2736
344,1484428176003305512,1.0094
254,1484428168235585627,1.0812
464,1484428185377701929,1.1116
244,1484428167660830811,1.2857
235,1484428166826037358,0.5451
175,1484428161352597595,0.5854
215,1484428165148573806,0.6092
25,1484428150170451978,0.5856
335,1484428174933622945,0.4261
135,1484428158739677237,0.5299
55,1484428152632508488,1.0467
45,1484428152007557271,1.0196
104,1484428156894183434,0.5024
85,1484428155241500785,0.955
295,1484428172261855242,0.66
155,1484428160253825024,1.0949
185,1484428162338394213,1.0952
35,1484428151361638541,1.1029
205,1484428164183625739,1.0467
165,1484428160782303313,1.051
65,1484428153467441263,1.0746
325,1484428174350876782,0.6895
124,1484428158244491324,1.3042
75,1484428154490716200,1.1413
265,1484428169283895346,1.0399
255,1484428168235585627,0.7607
455,1484428184286920715,0.4644
305,1484428172912099369,0.6459
475,1484428186249855006,0.523
115,1484428157556887633,1.246
495,1484428187743289344,0.4978
95,1484428156113911858,1.0893
405,1484428180839207032,1.1084
225,1484428165895163945,1.0125
424,1484428182110081106,0.5212
435,1484428182852730964,0.5939
375,1484428178519883866,1.1227
415,1484428181652902000,1.0093
315,1484428173545574411,1.1236
195,1484428162871070812,1.1079
445,1484428184022679602,1.0557
365,1484428177689411625,1.1356
275,1484428170860953620,1.1588
285,1484428171347628123,1.0911
245,1484428167660830811,1.1989
345,1484428176003305512,1.1256
385,1484428179241304075,1.0976
395,1484428179958534225,1.1622
86,1484428155241500785,0.6091
465,1484428185377701929,1.2408
116,1484428157556887633,0.4707
355,1484428176695496824,0.9931
66,1484428153467441263,0.4971
236,1484428166826037358,0.539
266,1484428169283895346,0.4513
166,1484428160782303313,0.4983
176,1484428161352597595,0.6244
26,1484428150170451978,0.6598
76,1484428154490716200,0.6528
136,1484428158739677237,0.5664
46,1484428152007557271,1.04
376,1484428178519883866,0.4819
485,1484428187009159319,1.0451
96,1484428156113911858,0.6638
56,1484428152632508488,1.1424
366,1484428177689411625,0.6094
336,1484428174933622945,0.7071
36,1484428151361638541,1.1239
186,1484428162338394213,1.1135
246,1484428167660830811,0.4845
156,1484428160253825024,1.0926
286,1484428171347628123,0.5989
216,1484428165148573806,1.1031
326,1484428174350876782,0.5281
125,1484428158244491324,1.16
446,1484428184022679602,0.7132
146,1484428159720886347,1.3308
206,1484428164183625739,1.1607
476,1484428186249855006,0.5089
496,1484428187743289344,0.4904
256,1484428168235585627,0.7301
346,1484428176003305512,0.7445
456,1484428184286920715,0.7034
276,1484428170860953620,1.0865
436,1484428182852730964,0.5984
226,1484428165895163945,1.0429
406,1484428180839207032,1.0177
87,1484428155241500785,0.4673
105,1484428156894183434,1.1493
17,1484428149281263616,0.609
466,1484428185377701929,1.1081
396,1484428179958534225,0.966
356,1484428176695496824,0.9647
306,1484428172912099369,1.1431
16,1484428149281263616,1.8884
386,1484428179241304075,1.0234
157,1484428160253825024,0.6135
237,1484428166826037358,0.5108
117,1484428157556887633,0.6598
67,1484428153467441263,0.6131
57,1484428152632508488,1.0175
77,1484428154490716200,0.6048
337,1484428174933622945,0.5748
377,1484428178519883866,0.5976
425,1484428182110081106,1.1926
7,1484428147838685275,1.1816
417,1484428181652902000,0.5687
187,1484428162338394213,1.0481
217,1484428165148573806,1.0993
207,1484428164183625739,1.1166
47,1484428152007557271,1.2554
27,1484428150170451978,0.9853
447,1484428184022679602,0.5071
247,1484428167660830811,0.5798
126,1484428158244491324,1.2314
37,1484428151361638541,1.3002
147,1484428159720886347,1.1886
177,1484428161352597595,1.0624
467,1484428185377701929,0.6193
387,1484428179241304075,0.5328
307,1484428172912099369,0.6605
267,1484428169283895346,1.0533
167,1484428160782303313,1.036
6,1484428147838685275,2.6721
357,1484428176695496824,0.6393
327,1484428174350876782,0.7879
426,1484428182110081106,0.4946
58,1484428152632508488,0.4946
137,1484428158739677237,1.1687
497,1484428187743289344,0.676
197,1484428162871070812,1.0256
317,1484428173545574411,1.0284
287,1484428171347628123,0.896
347,1484428176003305512,0.6764
367,1484428177689411625,0.9969
227,1484428165895163945,0.9989
97,1484428156113911858,1.1788
407,1484428180839207032,1.1007
277,1484428170860953620,1.1046
106,1484428156894183434,1.1069
218,1484428165148573806,0.5289
88,1484428155241500785,0.5519
127,1484428158244491324,0.4894
397,1484428179958534225,1.0689
188,1484428162338394213,0.5073
487,1484428187009159319,0.5264
257,1484428168235585627,1.0507
477,1484428186249855006,1.036
68,1484428153467441263,0.581
28,1484428150170451978,0.5576
268,1484428169283895346,0.5459
148,1484428159720886347,0.6333
168,1484428160782303313,0.6273
8,1484428147838685275,1.0501
338,1484428174933622945,0.6165
437,1484428182852730964,1.1425
18,1484428149281263616,1.1811
158,1484428160253825024,1.0404
368,1484428177689411625,0.5387
198,1484428162871070812,0.5604
118,1484428157556887633,1.0495
448,1484428184022679602,0.5841
208,1484428164183625739,1.0882
398,1484428179958534225,0.4981
358,1484428176695496824,0.4324
238,1484428166826037358,1.1684
478,1484428186249855006,0.5512
178,1484428161352597595,1.1199
98,1484428156113911858,0.7954
427,1484428182110081106,0.4265
38,1484428151361638541,1.1567
418,1484428181652902000,0.9982
288,1484428171347628123,0.5054
378,1484428178519883866,1.0457
19,1484428149281263616,0.5166
59,1484428152632508488,0.5195
78,1484428154490716200,1.1952
128,1484428158244491324,0.4237
278,1484428170860953620,1.0707
228,1484428165895163945,1.1311
408,1484428180839207032,1.1015
219,1484428165148573806,0.5565
248,1484428167660830811,1.045
138,1484428158739677237,1.3083
308,1484428172912099369,1.0337
468,1484428185377701929,1.0032
159,1484428160253825024,0.6011
388,1484428179241304075,1.0282
107,1484428156894183434,1.2128
318,1484428173545574411,1.2574
258,1484428168235585627,1.0461
119,1484428157556887633,0.5026
149,1484428159720886347,0.5429
498,1484428187743289344,1.0716
29,1484428150170451978,0.631
169,1484428160782303313,0.4887
328,1484428174350876782,1.1169
339,1484428174933622945,0.5069
209,1484428164183625739,0.667
458,1484428184286920715,1.02
229,1484428165895163945,0.4635
9,1484428147838685275,1.0729
89,1484428155241500785,1.0511
438,1484428182852730964,1.0966
488,1484428187009159319,0.9767
409,1484428180839207032,0.5216
369,1484428177689411625,0.5677
279,1484428170860953620,0.5483
69,1484428153467441263,0.989
49,1484428152007557271,0.9702
249,1484428167660830811,0.4972
239,1484428166826037358,0.9555
108,1484428156894183434,0.6315
189,1484428162338394213,1.0505
469,1484428185377701929,0.4581
179,1484428161352597595,1.114
139,1484428158739677237,0.9563
389,1484428179241304075,0.6187
359,1484428176695496824,0.4995
269,1484428169283895346,1.0415
449,1484428184022679602,0.6366
259,1484428168235585627,0.6677
399,1484428179958534225,0.5425
499,1484428187743289344,0.5066
428,1484428182110081106,0.4791
289,1484428171347628123,0.4719
297,1484428172261855242,3.3703
459,1484428184286920715,0.5356
199,1484428162871070812,1.1738
129,1484428158244491324,0.4627
99,1484428156113911858,0.9723
439,1484428182852730964,0.5693
319,1484428173545574411,1.1009
309,1484428172912099369,1.1126
298,1484428172261855242,0.7197
109,1484428156894183434,0.5958
489,1484428187009159319,1.026
39,1484428151361638541,1.949
429,1484428182110081106,0.4754
299,1484428172261855242,0.6167
79,1484428154490716200,2.2102
