test_id,channel_id,rtt_seconds
0,1484428147838685275,0.5812
130,1484428158739677237,0.5431
250,1484428168235585627,0.7351
60,1484428153467441263,1.2407
50,1484428152632508488,1.3268
20,1484428150170451978,1.3879
70,1484428154490716200,1.3196
100,1484428156894183434,1.2748
370,1484428178519883866,0.7071
180,1484428162338394213,1.1053
140,1484428159720886347,1.1987
30,1484428151361638541,1.4274
230,1484428166826037358,1.0184
160,1484428160782303313,1.1648
330,1484428174933622945,0.8259
80,1484428155241500785,1.2993
360,1484428177689411625,0.755
410,1484428181652902000,0.677
310,1484428173545574411,0.8764
220,1484428165895163945,1.0494
210,1484428165148573806,1.0837
390,1484428179958534225,0.701
10,1484428149281263616,1.4735
110,1484428157556887633,1.2733
380,1484428179241304075,0.7566
40,1484428152007557271,1.4245
150,1484428160253825024,1.2157
120,1484428158244491324,1.288
90,1484428156113911858,1.3468
440,1484428184022679602,0.6547
480,1484428187009159319,0.5836
200,1484428164183625739,1.1438
280,1484428171347628123,0.9933
240,1484428167660830811,1.0639
470,1484428186249855006,0.6086
460,1484428185377701929,0.6648
420,1484428182110081106,0.7484
260,1484428169283895346,1.0491
190,1484428162871070812,1.2194
170,1484428161352597595,1.2661
450,1484428184286920715,0.7138
430,1484428182852730964,0.7657
350,1484428176695496824,0.9721
400,1484428180839207032,0.8608
300,1484428172912099369,1.057
490,1484428187743289344,0.6987
270,1484428170860953620,1.1624
290,1484428172261855242,1.1675
340,1484428176003305512,1.0845
320,1484428174350876782,1.1542
1,1484428147838685275,0.5897
51,1484428152632508488,0.5329
131,1484428158739677237,0.4401
61,1484428153467441263,0.5643
31,1484428151361638541,0.6932
41,1484428152007557271,0.5891
151,1484428160253825024,0.5261
21,1484428150170451978,0.7091
71,1484428154490716200,0.7639
121,1484428158244491324,0.7218
241,1484428167660830811,0.5137
231,1484428166826037358,0.5157
91,1484428156113911858,0.7932
171,1484428161352597595,0.5814
111,1484428157556887633,0.7545
261,1484428169283895346,0.5643
191,1484428162871070812,0.6205
221,1484428165895163945,0.6999
