Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Std. Dev.
Discord Bot,10,718,570,841,1404,1854,499,1966,0.00%,421.16
TOTAL,10,718,570,841,1404,1854,499,1966,0.00%,421.16
