Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Std. Dev.
Discord Bot,478,879,987,1184,1239,2437,416,2819,0.00%,336.81
TOTAL,478,879,987,1184,1239,2437,416,2819,0.00%,336.81
