Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Std. Dev.
Discord Bot,464,876,944,1198,1304,2240,416,2868,0.00%,353.63
TOTAL,464,876,944,1198,1304,2240,416,2868,0.00%,353.63
