Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Std. Dev.
Discord Bot,459,876,929,1226,1292,1977,416,2909,0.00%,326.42
TOTAL,459,876,929,1226,1292,1977,416,2909,0.00%,326.42
