Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Std. Dev.
Discord Bot,10,558,556,592,608,620,506,624,0.00%,32.05
TOTAL,10,558,556,592,608,620,506,624,0.00%,32.05
