Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Std. Dev.
Discord Bot,484,891,984,1202,1266,1435,423,2781,0.00%,307.44
TOTAL,484,891,984,1202,1266,1435,423,2781,0.00%,307.44
