Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Std. Dev.
Discord Bot,482,873,969,1184,1257,2212,424,3370,0.00%,340.85
TOTAL,482,873,969,1184,1257,2212,424,3370,0.00%,340.85
