Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Std. Dev.
Discord Bot,10,577,558,635,662,683,533,688,0.00%,48.57
TOTAL,10,577,558,635,662,683,533,688,0.00%,48.57
