test_id,channel_id,rtt_seconds
0,1484428147838685275,0.5414
140,1484428159720886347,0.6587
270,1484428170860953620,0.6728
20,1484428150170451978,1.1957
10,1484428149281263616,1.2016
60,1484428153467441263,1.1276
40,1484428152007557271,1.1907
70,1484428154490716200,1.1833
80,1484428155241500785,1.191
130,1484428158739677237,1.1065
390,1484428179958534225,0.6109
380,1484428179241304075,0.6241
340,1484428176003305512,0.7079
110,1484428157556887633,1.1571
100,1484428156894183434,1.198
90,1484428156113911858,1.2096
50,1484428152632508488,1.2785
330,1484428174933622945,0.7441
30,1484428151361638541,1.3335
120,1484428158244491324,1.1658
180,1484428162338394213,1.0925
210,1484428165148573806,1.0608
150,1484428160253825024,1.1681
220,1484428165895163945,1.0439
450,1484428184286920715,0.6012
400,1484428180839207032,0.6779
480,1484428187009159319,0.5291
410,1484428181652902000,0.6903
230,1484428166826037358,1.0616
160,1484428160782303313,1.2021
190,1484428162871070812,1.134
430,1484428182852730964,0.6529
440,1484428184022679602,0.6731
310,1484428173545574411,0.9283
170,1484428161352597595,1.2718
280,1484428171347628123,1.0542
290,1484428172261855242,1.0168
200,1484428164183625739,1.2079
260,1484428169283895346,1.1227
250,1484428168235585627,1.1537
490,1484428187743289344,0.6617
460,1484428185377701929,0.7206
240,1484428167660830811,1.1694
470,1484428186249855006,0.7152
1,1484428147838685275,0.5575
21,1484428150170451978,0.4904
300,1484428172912099369,1.0849
420,1484428182110081106,0.9194
31,1484428151361638541,0.4881
370,1484428178519883866,1.0888
350,1484428176695496824,1.1246
51,1484428152632508488,0.4461
111,1484428157556887633,0.4654
101,1484428156894183434,0.5353
360,1484428177689411625,1.1673
61,1484428153467441263,0.6409
71,1484428154490716200,0.5501
91,1484428156113911858,0.6187
161,1484428160782303313,0.5972
211,1484428165148573806,0.554
181,1484428162338394213,0.6168
191,1484428162871070812,0.7296
351,1484428176695496824,0.6674
301,1484428172912099369,0.7318
281,1484428171347628123,0.8061
361,1484428177689411625,0.7741
421,1484428182110081106,0.5859
451,1484428184286920715,0.5579
171,1484428161352597595,1.1673
231,1484428166826037358,1.0315
481,1484428187009159319,0.5591
291,1484428172261855242,0.9657
461,1484428185377701929,0.5733
261,1484428169283895346,1.0176
201,1484428164183625739,1.0659
271,1484428170860953620,1.0657
251,1484428168235585627,1.0207
241,1484428167660830811,1.0297
221,1484428165895163945,1.1707
22,1484428150170451978,0.5841
391,1484428179958534225,1.023
381,1484428179241304075,1.0431
411,1484428181652902000,1.0073
401,1484428180839207032,0.9967
92,1484428156113911858,0.4849
320,1484428174350876782,2.4087
371,1484428178519883866,1.1732
341,1484428176003305512,1.129
431,1484428182852730964,1.0073
331,1484428174933622945,1.1531
311,1484428173545574411,1.0915
2,1484428147838685275,0.7228
52,1484428152632508488,0.556
142,1484428159720886347,0.4863
62,1484428153467441263,0.7308
471,1484428186249855006,1.0337
491,1484428187743289344,1.0081
132,1484428158739677237,0.5088
82,1484428155241500785,0.4864
182,1484428162338394213,0.5307
441,1484428184022679602,1.2535
212,1484428165148573806,0.6081
222,1484428165895163945,0.4515
192,1484428162871070812,0.5811
172,1484428161352597595,0.5056
352,1484428176695496824,0.5671
242,1484428167660830811,0.6849
112,1484428157556887633,1.0646
232,1484428166826037358,0.702
412,1484428181652902000,0.5134
102,1484428156894183434,1.0576
12,1484428149281263616,1.0752
42,1484428152007557271,1.0758
382,1484428179241304075,0.5175
392,1484428179958534225,0.5943
32,1484428151361638541,1.1371
152,1484428160253825024,1.05
122,1484428158244491324,1.002
332,1484428174933622945,0.5593
272,1484428170860953620,0.8304
372,1484428178519883866,0.5174
422,1484428182110081106,0.5565
162,1484428160782303313,1.1002
472,1484428186249855006,0.563
252,1484428168235585627,0.9881
402,1484428180839207032,0.7333
262,1484428169283895346,0.9777
202,1484428164183625739,1.157
292,1484428172261855242,1.2018
312,1484428173545574411,0.9976
321,1484428174350876782,1.1085
282,1484428171347628123,1.1555
302,1484428172912099369,1.2065
93,1484428156113911858,0.51
452,1484428184286920715,0.994
43,1484428152007557271,0.5335
362,1484428177689411625,1.2698
462,1484428185377701929,0.9588
432,1484428182852730964,1.0337
482,1484428187009159319,1.0151
492,1484428187743289344,1.0157
442,1484428184022679602,1.1569
153,1484428160253825024,0.5656
123,1484428158244491324,0.568
183,1484428162338394213,0.5762
342,1484428176003305512,1.3147
163,1484428160782303313,0.5499
273,1484428170860953620,0.4526
63,1484428153467441263,0.6221
223,1484428165895163945,0.5322
213,1484428165148573806,0.5973
233,1484428166826037358,0.5497
193,1484428162871070812,0.7429
3,1484428147838685275,1.1463
303,1484428172912099369,0.5559
23,1484428150170451978,1.2496
363,1484428177689411625,0.527
293,1484428172261855242,0.6871
33,1484428151361638541,1.0584
13,1484428149281263616,1.1111
322,1484428174350876782,0.6428
113,1484428157556887633,1.1007
283,1484428171347628123,0.6925
143,1484428159720886347,1.075
133,1484428158739677237,1.0419
83,1484428155241500785,1.0779
253,1484428168235585627,0.918
403,1484428180839207032,0.5642
473,1484428186249855006,0.4577
173,1484428161352597595,1.0446
263,1484428169283895346,1.0226
72,1484428154490716200,2.5329
353,1484428176695496824,0.9949
243,1484428167660830811,1.1145
44,1484428152007557271,0.4282
393,1484428179958534225,1.177
413,1484428181652902000,1.0602
4,1484428147838685275,0.4929
313,1484428173545574411,1.1192
423,1484428182110081106,0.9093
54,1484428152632508488,0.4892
94,1484428156113911858,0.5964
433,1484428182852730964,1.0088
104,1484428156894183434,0.5196
463,1484428185377701929,1.0323
493,1484428187743289344,1.0248
24,1484428150170451978,0.5525
14,1484428149281263616,0.6127
373,1484428178519883866,1.0965
114,1484428157556887633,0.6393
443,1484428184022679602,1.1866
184,1484428162338394213,0.5398
154,1484428160253825024,0.6883
144,1484428159720886347,0.6225
194,1484428162871070812,0.6034
274,1484428170860953620,0.717
294,1484428172261855242,0.5261
323,1484428174350876782,0.5423
364,1484428177689411625,0.566
164,1484428160782303313,0.9941
34,1484428151361638541,1.0783
414,1484428181652902000,0.6319
64,1484428153467441263,1.0355
374,1484428178519883866,0.4854
124,1484428158244491324,1.184
84,1484428155241500785,1.1319
434,1484428182852730964,0.5282
134,1484428158739677237,0.9656
214,1484428165148573806,1.0802
404,1484428180839207032,0.4635
224,1484428165895163945,1.0423
424,1484428182110081106,0.6622
234,1484428166826037358,1.0795
73,1484428154490716200,1.0431
254,1484428168235585627,1.1667
244,1484428167660830811,1.1329
174,1484428161352597595,1.1944
45,1484428152007557271,0.5208
354,1484428176695496824,1.1831
394,1484428179958534225,1.0266
264,1484428169283895346,1.1251
474,1484428186249855006,0.6942
344,1484428176003305512,0.9859
284,1484428171347628123,1.1459
334,1484428174933622945,1.0628
304,1484428172912099369,1.2049
384,1484428179241304075,1.158
314,1484428173545574411,1.1585
125,1484428158244491324,0.4332
464,1484428185377701929,1.1187
204,1484428164183625739,1.1777
444,1484428184022679602,1.1553
25,1484428150170451978,0.6047
95,1484428156113911858,0.542
454,1484428184286920715,1.2525
65,1484428153467441263,0.542
484,1484428187009159319,1.2391
35,1484428151361638541,0.5617
494,1484428187743289344,1.1863
85,1484428155241500785,0.608
245,1484428167660830811,0.5203
255,1484428168235585627,0.534
275,1484428170860953620,0.5447
225,1484428165895163945,0.5801
195,1484428162871070812,0.5487
115,1484428157556887633,0.9515
235,1484428166826037358,0.5834
5,1484428147838685275,1.0087
15,1484428149281263616,1.0545
365,1484428177689411625,0.5416
355,1484428176695496824,0.6571
105,1484428156894183434,1.1122
205,1484428164183625739,0.4368
315,1484428173545574411,0.5273
305,1484428172912099369,0.5296
74,1484428154490716200,0.7887
55,1484428152632508488,1.0378
485,1484428187009159319,0.5896
445,1484428184022679602,0.5065
495,1484428187743289344,0.4885
135,1484428158739677237,0.9652
145,1484428159720886347,1.0295
405,1484428180839207032,0.5615
265,1484428169283895346,0.991
285,1484428171347628123,1.0503
175,1484428161352597595,1.0563
335,1484428174933622945,0.9835
395,1484428179958534225,1.1122
46,1484428152007557271,0.4844
475,1484428186249855006,0.634
415,1484428181652902000,1.0737
16,1484428149281263616,0.5551
106,1484428156894183434,0.5668
345,1484428176003305512,1.1919
465,1484428185377701929,1.1
6,1484428147838685275,0.6553
435,1484428182852730964,1.1184
66,1484428153467441263,0.5433
56,1484428152632508488,0.5683
375,1484428178519883866,1.1807
455,1484428184286920715,1.2762
196,1484428162871070812,0.5827
236,1484428166826037358,0.513
75,1484428154490716200,0.5375
86,1484428155241500785,0.777
356,1484428176695496824,0.6647
486,1484428187009159319,0.4217
386,1484428179241304075,0.5962
26,1484428150170451978,1.0838
496,1484428187743289344,0.4842
36,1484428151361638541,1.0151
116,1484428157556887633,1.2309
126,1484428158244491324,1.0293
206,1484428164183625739,0.5253
146,1484428159720886347,1.0155
446,1484428184022679602,0.5286
96,1484428156113911858,1.0875
246,1484428167660830811,1.0305
226,1484428165895163945,1.0054
276,1484428170860953620,1.006
136,1484428158739677237,1.1127
166,1484428160782303313,1.0675
186,1484428162338394213,1.0479
406,1484428180839207032,0.5865
216,1484428165148573806,1.1031
396,1484428179958534225,0.9958
266,1484428169283895346,1.0906
425,1484428182110081106,1.805
256,1484428168235585627,1.1742
176,1484428161352597595,1.1437
366,1484428177689411625,1.053
346,1484428176003305512,1.0004
336,1484428174933622945,1.0003
306,1484428172912099369,0.9989
325,1484428174350876782,1.0303
47,1484428152007557271,0.5198
165,1484428160782303313,2.5927
476,1484428186249855006,0.7032
416,1484428181652902000,1.0494
316,1484428173545574411,1.2071
107,1484428156894183434,0.5515
97,1484428156113911858,0.4741
155,1484428160253825024,1.0307
127,1484428158244491324,0.5682
436,1484428182852730964,1.0441
57,1484428152632508488,0.4806
37,1484428151361638541,0.5899
27,1484428150170451978,0.5879
177,1484428161352597595,0.4723
87,1484428155241500785,0.5669
167,1484428160782303313,0.6003
187,1484428162338394213,0.5976
367,1484428177689411625,0.5481
257,1484428168235585627,0.6907
456,1484428184286920715,1.4207
387,1484428179241304075,0.532
147,1484428159720886347,1.0367
137,1484428158739677237,0.9296
447,1484428184022679602,0.551
7,1484428147838685275,1.0774
377,1484428178519883866,0.5394
277,1484428170860953620,0.9949
317,1484428173545574411,0.6383
227,1484428165895163945,1.0186
17,1484428149281263616,1.2158
497,1484428187743289344,0.5917
247,1484428167660830811,1.0468
117,1484428157556887633,1.3836
67,1484428153467441263,1.1157
267,1484428169283895346,0.959
477,1484428186249855006,0.4614
326,1484428174350876782,0.9562
217,1484428165148573806,1.059
337,1484428174933622945,0.9685
397,1484428179958534225,1.0367
197,1484428162871070812,1.0825
237,1484428166826037358,1.018
156,1484428160253825024,0.6968
347,1484428176003305512,1.0388
307,1484428172912099369,1.0121
417,1484428181652902000,1.0009
76,1484428154490716200,1.2394
48,1484428152007557271,0.5892
487,1484428187009159319,1.0249
426,1484428182110081106,0.6995
38,1484428151361638541,0.447
207,1484428164183625739,1.129
357,1484428176695496824,1.3622
457,1484428184286920715,0.6158
108,1484428156894183434,0.531
