Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Std. Dev.
Discord Bot,10,658,637,771,810,840,538,848,0.00%,96.61
TOTAL,10,658,637,771,810,840,538,848,0.00%,96.61
