test_id,channel_id,rtt_seconds
20,1484428150170451978,0.581
80,1484428155241500785,0.6871
30,1484428151361638541,1.254
300,1484428172912099369,0.6931
10,1484428149281263616,1.2975
90,1484428156113911858,1.2055
40,1484428152007557271,1.324
170,1484428161352597595,1.1181
140,1484428159720886347,1.183
180,1484428162338394213,1.0804
0,1484428147838685275,1.442
190,1484428162871070812,1.0758
60,1484428153467441263,1.3431
120,1484428158244491324,1.2175
390,1484428179958534225,0.707
200,1484428164183625739,1.0718
360,1484428177689411625,0.7496
100,1484428156894183434,1.2925
50,1484428152632508488,1.3793
70,1484428154490716200,1.3268
380,1484428179241304075,0.728
400,1484428180839207032,0.7013
130,1484428158739677237,1.2364
220,1484428165895163945,1.0689
250,1484428168235585627,1.0311
410,1484428181652902000,0.6813
210,1484428165148573806,1.1117
440,1484428184022679602,0.6478
150,1484428160253825024,1.2439
230,1484428166826037358,1.0972
110,1484428157556887633,1.3205
420,1484428182110081106,0.7505
470,1484428186249855006,0.662
370,1484428178519883866,0.8702
260,1484428169283895346,1.0999
450,1484428184286920715,0.7207
290,1484428172261855242,1.0334
480,1484428187009159319,0.6745
430,1484428182852730964,0.7606
460,1484428185377701929,0.7263
280,1484428171347628123,1.074
160,1484428160782303313,1.3556
31,1484428151361638541,0.4882
270,1484428170860953620,1.166
310,1484428173545574411,1.0979
330,1484428174933622945,1.0624
240,1484428167660830811,1.2433
350,1484428176695496824,1.0371
41,1484428152007557271,0.4473
490,1484428187743289344,0.769
11,1484428149281263616,0.5645
340,1484428176003305512,1.1158
21,1484428150170451978,0.5945
61,1484428153467441263,0.555
51,1484428152632508488,0.6571
121,1484428158244491324,0.5399
101,1484428156894183434,0.5948
181,1484428162338394213,0.507
191,1484428162871070812,0.5173
91,1484428156113911858,0.5915
211,1484428165148573806,0.6468
201,1484428164183625739,0.5252
281,1484428171347628123,0.5619
271,1484428170860953620,0.5778
321,1484428174350876782,0.547
311,1484428173545574411,0.5274
261,1484428169283895346,0.765
241,1484428167660830811,0.5112
331,1484428174933622945,0.5883
171,1484428161352597595,0.9859
161,1484428160782303313,0.9963
401,1484428180839207032,0.5299
71,1484428154490716200,1.0628
141,1484428159720886347,0.9968
361,1484428177689411625,0.6592
111,1484428157556887633,1.053
221,1484428165895163945,0.9612
131,1484428158739677237,1.0499
151,1484428160253825024,1.0568
491,1484428187743289344,0.4728
381,1484428179241304075,0.6473
231,1484428166826037358,1.0046
81,1484428155241500785,1.2623
251,1484428168235585627,1.0591
451,1484428184286920715,0.6327
291,1484428172261855242,1.0497
461,1484428185377701929,0.5629
391,1484428179958534225,1.0442
411,1484428181652902000,1.0255
481,1484428187009159319,0.7632
320,1484428174350876782,2.3578
42,1484428152007557271,0.5512
351,1484428176695496824,1.1048
301,1484428172912099369,1.3121
12,1484428149281263616,0.7014
441,1484428184022679602,1.1183
1,1484428147838685275,1.1984
421,1484428182110081106,1.0533
92,1484428156113911858,0.5467
122,1484428158244491324,0.6627
62,1484428153467441263,0.6714
371,1484428178519883866,1.2338
192,1484428162871070812,0.5855
431,1484428182852730964,1.1974
471,1484428186249855006,1.2476
341,1484428176003305512,1.1687
282,1484428171347628123,0.4163
82,1484428155241500785,0.6232
202,1484428164183625739,0.6106
322,1484428174350876782,0.6313
392,1484428179958534225,0.5596
312,1484428173545574411,0.6889
242,1484428167660830811,0.5669
302,1484428172912099369,0.6618
102,1484428156894183434,1.157
332,1484428174933622945,0.537
352,1484428176695496824,0.6148
252,1484428168235585627,0.7801
32,1484428151361638541,1.3332
272,1484428170860953620,0.8864
142,1484428159720886347,1.0042
172,1484428161352597595,1.0417
162,1484428160782303313,1.0589
412,1484428181652902000,0.6924
152,1484428160253825024,1.0965
22,1484428150170451978,1.2456
2,1484428147838685275,0.6384
222,1484428165895163945,1.0816
182,1484428162338394213,1.2428
422,1484428182110081106,0.6148
342,1484428176003305512,0.6146
372,1484428178519883866,0.6237
52,1484428152632508488,1.1699
462,1484428185377701929,0.4661
492,1484428187743289344,0.6446
432,1484428182852730964,0.6672
112,1484428157556887633,1.157
132,1484428158739677237,1.2408
232,1484428166826037358,1.1614
262,1484428169283895346,1.2406
472,1484428186249855006,0.7321
442,1484428184022679602,0.7633
212,1484428165148573806,1.212
482,1484428187009159319,0.5486
43,1484428152007557271,0.527
103,1484428156894183434,0.4586
33,1484428151361638541,0.5208
382,1484428179241304075,1.0589
362,1484428177689411625,1.0593
72,1484428154490716200,1.4593
193,1484428162871070812,0.4925
292,1484428172261855242,1.2775
163,1484428160782303313,0.5628
133,1484428158739677237,0.4904
263,1484428169283895346,0.4864
83,1484428155241500785,0.4544
452,1484428184286920715,1.0059
143,1484428159720886347,0.5537
13,1484428149281263616,0.553
93,1484428156113911858,0.6917
153,1484428160253825024,0.542
63,1484428153467441263,0.6735
123,1484428158244491324,0.7482
402,1484428180839207032,1.4995
303,1484428172912099369,0.594
353,1484428176695496824,0.5953
323,1484428174350876782,0.5376
363,1484428177689411625,0.5167
393,1484428179958534225,0.7311
473,1484428186249855006,0.535
373,1484428178519883866,0.6079
413,1484428181652902000,0.5984
343,1484428176003305512,0.5621
203,1484428164183625739,0.99
53,1484428152632508488,1.0603
493,1484428187743289344,0.6234
233,1484428166826037358,1.097
313,1484428173545574411,1.0438
104,1484428156894183434,0.5003
253,1484428168235585627,1.1517
243,1484428167660830811,1.1882
383,1484428179241304075,0.9908
333,1484428174933622945,1.092
34,1484428151361638541,0.6462
194,1484428162871070812,0.4832
293,1484428172261855242,1.1173
423,1484428182110081106,1.0785
443,1484428184022679602,1.0997
124,1484428158244491324,0.5158
463,1484428185377701929,1.0148
3,1484428147838685275,1.1526
433,1484428182852730964,1.1207
73,1484428154490716200,1.3443
184,1484428162338394213,0.5681
164,1484428160782303313,0.5894
144,1484428159720886347,0.6166
44,1484428152007557271,1.0057
154,1484428160253825024,0.6836
254,1484428168235585627,0.4359
174,1484428161352597595,0.6184
403,1484428180839207032,1.1335
54,1484428152632508488,0.5298
304,1484428172912099369,0.5405
453,1484428184286920715,1.2082
334,1484428174933622945,0.4408
394,1484428179958534225,0.5216
354,1484428176695496824,0.5813
314,1484428173545574411,0.6067
94,1484428156113911858,1.0559
483,1484428187009159319,1.2794
474,1484428186249855006,0.5513
414,1484428181652902000,0.4942
114,1484428157556887633,1.0158
374,1484428178519883866,0.4687
224,1484428165895163945,1.0039
344,1484428176003305512,0.4735
14,1484428149281263616,1.1494
384,1484428179241304075,0.6546
294,1484428172261855242,0.687
284,1484428171347628123,1.0381
64,1484428153467441263,1.1782
204,1484428164183625739,1.1079
84,1484428155241500785,1.2781
273,1484428170860953620,2.0992
264,1484428169283895346,1.3362
234,1484428166826037358,1.2095
244,1484428167660830811,1.001
404,1484428180839207032,0.6741
74,1484428154490716200,1.0943
494,1484428187743289344,0.6093
105,1484428156894183434,0.633
35,1484428151361638541,0.6628
324,1484428174350876782,1.2349
125,1484428158244491324,0.4482
195,1484428162871070812,0.6245
185,1484428162338394213,0.5321
484,1484428187009159319,0.6326
4,1484428147838685275,1.1179
434,1484428182852730964,1.054
464,1484428185377701929,1.1278
85,1484428155241500785,0.4944
145,1484428159720886347,0.6621
444,1484428184022679602,1.2251
454,1484428184286920715,1.2136
355,1484428176695496824,0.55
315,1484428173545574411,0.5934
205,1484428164183625739,0.7167
335,1484428174933622945,0.5607
325,1484428174350876782,0.5429
245,1484428167660830811,0.5287
95,1484428156113911858,1.0995
45,1484428152007557271,1.3863
385,1484428179241304075,0.4414
15,1484428149281263616,1.113
435,1484428182852730964,0.424
265,1484428169283895346,0.6981
225,1484428165895163945,1.0376
165,1484428160782303313,1.08
135,1484428158739677237,1.0114
155,1484428160253825024,1.1015
55,1484428152632508488,0.9036
175,1484428161352597595,1.0821
115,1484428157556887633,1.1236
405,1484428180839207032,0.4514
305,1484428172912099369,1.0393
445,1484428184022679602,0.6029
395,1484428179958534225,1.0635
235,1484428166826037358,1.0684
5,1484428147838685275,0.625
495,1484428187743289344,0.4512
255,1484428168235585627,1.0896
75,1484428154490716200,1.0793
375,1484428178519883866,0.7928
295,1484428172261855242,1.0897
196,1484428162871070812,0.4993
425,1484428182110081106,1.0916
96,1484428156113911858,0.5212
465,1484428185377701929,0.9561
275,1484428170860953620,1.154
365,1484428177689411625,1.133
156,1484428160253825024,0.5036
46,1484428152007557271,0.5398
455,1484428184286920715,1.0788
16,1484428149281263616,0.5971
136,1484428158739677237,0.5111
415,1484428181652902000,1.1437
485,1484428187009159319,0.7254
166,1484428160782303313,0.6015
56,1484428152632508488,0.5684
106,1484428156894183434,1.1508
356,1484428176695496824,0.5808
65,1484428153467441263,0.4163
326,1484428174350876782,0.5526
436,1484428182852730964,0.5665
286,1484428171347628123,1.098
186,1484428162338394213,1.1591
216,1484428165148573806,1.1081
386,1484428179241304075,0.6293
466,1484428185377701929,0.5684
396,1484428179958534225,1.0098
306,1484428172912099369,1.0111
316,1484428173545574411,1.0215
116,1484428157556887633,1.1288
86,1484428155241500785,1.1552
176,1484428161352597595,1.1422
206,1484428164183625739,1.003
256,1484428168235585627,1.0615
6,1484428147838685275,0.5594
107,1484428156894183434,0.4712
236,1484428166826037358,1.2441
266,1484428169283895346,1.0466
336,1484428174933622945,1.1413
76,1484428154490716200,1.106
37,1484428151361638541,0.5195
276,1484428170860953620,1.0596
