Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,10,46,44,45,45,70,43,70,0.00%,1.1,.2,7.79
TOTAL,10,46,44,45,45,70,43,70,0.00%,1.1,.2,7.79
