Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1000,68,59,99,116,167,46,197,0.000%,99.51239,19.14,12.15
TOTAL,1000,68,59,99,116,167,46,197,0.000%,99.51239,19.14,12.15
