Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,10,69,62,69,69,138,54,138,0.000%,1.10314,0.21,0.13
TOTAL,10,69,62,69,69,138,54,138,0.000%,1.10314,0.21,0.13
