Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,69,54,138,23.23,0.000%,1.10314,0.21,0.13,197.0
TOTAL,10,69,54,138,23.23,0.000%,1.10314,0.21,0.13,197.0
